xml_id,dimev_idno,match_kind,bodleian_shelfmark,cat_id,cat_url,n_facsimiles,facsimile_urls,file
Bod54,Bodley 54,abbrev,MS. Bodl. 54,manuscript_1560,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1560,0,,collections/Bodl/MS_Bodl_54.xml
Bod57,Bodley 57,abbrev,MS. Bodl. 57,manuscript_1588,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1588,0,,collections/Bodl/MS_Bodl_57.xml
Bod61,Bodley 61,abbrev,MS. Bodl. 61,manuscript_1621,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1621,0,,collections/Bodl/MS_Bodl_61.xml
Bod75,Bodley 75,abbrev,MS. Bodl. 75,manuscript_1736,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1736,1,https://digital.bodleian.ox.ac.uk/objects/c6a7803e-e837-42c6-a67c-b1ee235d0dce/,collections/Bodl/MS_Bodl_75.xml
Bod77,Bodley 77,abbrev,MS. Bodl. 77,manuscript_1755,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1755,0,,collections/Bodl/MS_Bodl_77.xml
Bod85,Bodley 85,abbrev,MS. Bodl. 85,manuscript_1840,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1840,0,,collections/Bodl/MS_Bodl_85.xml
Bod89,Bodley 89,abbrev,MS. Bodl. 89,manuscript_1871,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1871,0,,collections/Bodl/MS_Bodl_89.xml
Bod99,Bodley 99,abbrev,MS. Bodl. 99,manuscript_1924,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1924,0,,collections/Bodl/MS_Bodl_99.xml
Bod100,Bodley 100,abbrev,MS. Bodl. 100,manuscript_1172,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1172,1,https://digital.bodleian.ox.ac.uk/objects/cffa0466-6f72-4c6e-996d-a1e8430ca05d/,collections/Bodl/MS_Bodl_100.xml
Bod110,Bodley 110,abbrev,MS. Bodl. 110,manuscript_1182,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1182,0,,collections/Bodl/MS_Bodl_110.xml
Bod120,Bodley 120,abbrev,MS. Bodl. 120,manuscript_1186,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1186,0,,collections/Bodl/MS_Bodl_120.xml
Bod123,Bodley 123,abbrev,MS. Bodl. 123,manuscript_1188,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1188,1,https://digital.bodleian.ox.ac.uk/objects/527ee3e4-cfdc-44a0-b598-3e89c20a7f7b/,collections/Bodl/MS_Bodl_123.xml
Bod131,Bodley 131,abbrev,MS. Bodl. 131,manuscript_1193,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1193,0,,collections/Bodl/MS_Bodl_131.xml
Bod187,Bodley 187,abbrev,MS. Bodl. 187,manuscript_1244,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1244,0,,collections/Bodl/MS_Bodl_187.xml
Bod220,Bodley 220,abbrev,MS. Bodl. 220,manuscript_1276,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1276,0,,collections/Bodl/MS_Bodl_220.xml
Bod221,Bodley 221,abbrev,MS. Bodl. 221,manuscript_1277,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1277,0,,collections/Bodl/MS_Bodl_221.xml
Bod263,Bodley 263,abbrev,MS. Bodl. 263,manuscript_1314,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1314,1,https://digital.bodleian.ox.ac.uk/objects/8e2ec3ad-d601-4bf9-8e5d-24e9fa8d7722/,collections/Bodl/MS_Bodl_263.xml
Bod264,Bodley 264,abbrev,MS. Bodl. 264,manuscript_1315,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1315,4,https://digital.bodleian.ox.ac.uk/objects/ae9f6cca-ae5c-4149-8fe4-95e6eca1f73c/ https://digital.bodleian.ox.ac.uk/objects/8d17bc13-14b6-4a56-b3b5-d2e1a935c60d/ https://digital.bodleian.ox.ac.uk/objects/228cfdeb-ef20-46f2-8dd0-21467ed7428e/ https://digital.bodleian.ox.ac.uk/objects/300f251d-1d9e-4212-b8e0-1a483bb26c43/,collections/Bodl/MS_Bodl_264.xml
Bod294,Bodley 294,abbrev,MS. Bodl. 294,manuscript_1344,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1344,1,https://digital.bodleian.ox.ac.uk/objects/a5dfc682-289c-4552-b404-4bf2f04eccd7/,collections/Bodl/MS_Bodl_294.xml
Bod315,Bodley 315,abbrev,MS. Bodl. 315,manuscript_1361,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1361,0,,collections/Bodl/MS_Bodl_315.xml
Bod332,Bodley 332,abbrev,MS. Bodl. 332,manuscript_1370,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1370,0,,collections/Bodl/MS_Bodl_332.xml
Bod343,Bodley 343,abbrev,MS. Bodl. 343,manuscript_1380,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1380,2,https://digital.bodleian.ox.ac.uk/objects/96cc6a43-6e73-4829-90fe-b82669c92806/ https://digital.bodleian.ox.ac.uk/objects/b8dc946d-2160-4bd6-9293-e16dace1c406/,collections/Bodl/MS_Bodl_343.xml
Bod393,Bodley 393,abbrev,MS. Bodl. 393,manuscript_1424,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1424,0,,collections/Bodl/MS_Bodl_393.xml
Bod410,Bodley 410,abbrev,MS. Bodl. 410,manuscript_1442,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1442,0,,collections/Bodl/MS_Bodl_410.xml
